id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15804235,Apartamento Ramos | T1 na Graça com parqueamento,102268218,Maria,Lisboa,So Vicente,38.72035,-9.12977,Entire home/apt,50,2,165,2020-02-26,4.20,1,280
15805475,Belém - Apartment for 5,102280017,Ana,Lisboa,Ajuda,38.70357,-9.19693,Entire home/apt,26,2,109,2020-01-30,2.71,1,129
15805665,Double Room Parque das Nações,102282170,Dina,Lisboa,Parque das Naes,38.78542,-9.0965,Private room,45,1,14,2019-11-21,0.39,1,87
15810467,Graça 39 Apartment | Parking | Location | Wi-Fi,91438952,Marta,Lisboa,So Vicente,38.71983,-9.13235,Entire home/apt,70,2,85,2019-11-08,2.20,2,308
15811299,Stay in the heart of Alfama!,55511500,Manuela,Lisboa,Santa Maria Maior,38.71168,-9.12773,Entire home/apt,300,3,116,2020-02-23,2.89,4,320
15812915,Casa Verena,100612234,Ariana,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.68097,-9.31906,Entire home/apt,100,3,13,2020-02-24,0.34,1,264
15815109,TOP FLOOR APARTMENT with amazing location Lisbon,45429583,Habitat,Lisboa,Misericrdia,38.70847,-9.14788,Entire home/apt,131,1,1,2020-02-24,1,70,302
15818638,Stunning view in Alfama,3844593,Thibaut,Lisboa,Santa Maria Maior,38.71491,-9.13287,Entire home/apt,140,2,137,2020-02-10,3.41,3,287
15819866,Romy House// Village in Graça,102409318,Rosa,Lisboa,So Vicente,38.71805,-9.13079,Entire home/apt,46,2,194,2020-02-08,5.52,1,329
15825974,"Swallow House - ""Casa das Andorinhas""",102464349,Susana E Nuno,Lisboa,Misericrdia,38.71013,-9.15118,Entire home/apt,70,3,92,2020-01-05,2.34,1,209
15826069,Typical house lisbon,102465034,Nelson,Lisboa,Alcntara,38.70299,-9.17986,Entire home/apt,53,2,56,2019-10-23,1.85,1,0
15826769,"Lisbon Telheiras, close to metro",85938507,Rui,Lisboa,Lumiar,38.75935,-9.16836,Entire home/apt,150,1,0,,,1,365
15826845,Chalé Mafra,102472629,Carlos,Mafra,Venda do Pinheiro e Santo Estvo das Gals,38.93293,-9.23951,Entire home/apt,150,5,20,2019-10-16,0.62,1,317
15827096,Room in the center,12344607,Margarida,Lisboa,Alvalade,38.75087,-9.14929,Private room,48,1,7,2018-08-31,0.19,1,332
15828245,Casa Maria Tesinha    36003/AL,102484806,Luis,Mafra,Ericeira,38.9641,-9.41535,Entire home/apt,45,3,25,2019-09-21,0.65,1,306
15830684,"Elegant, Garden-Facing- HEATING, 2 bathrooms,90m2,",5171813,Costa Family,Lisboa,Avenidas Novas,38.73681,-9.15191,Entire home/apt,100,4,16,2019-06-01,0.41,4,264
15833775,Duplex Casa da Metade (Av. da Liberdade),87004794,Carla,Lisboa,Santo Antnio,38.7217,-9.14535,Entire home/apt,140,2,44,2019-10-27,1.18,1,334
15834030,Riverside Apartment,46217205,Ângela Maria,Lisboa,Parque das Naes,38.77506,-9.09597,Entire home/apt,60,5,41,2020-02-19,1.07,1,315
15838905,"Vue, roof top et top confort à Santa Apolonia",102580241,Jeff,Lisboa,So Vicente,38.71787,-9.12153,Entire home/apt,85,2,72,2020-01-01,1.82,1,125
15840324,Big Room Parque das nações Moscavide! (Quarto 3),42295247,Rute Carvalho,Lisboa,Parque das Naes,38.77463,-9.09905,Private room,25,1,28,2018-07-16,0.70,4,315
15841007,Elite House,102599073,Nuno,Lisboa,Alcntara,38.7032,-9.17999,Entire home/apt,99,2,60,2020-02-26,1.57,1,121
15842176,"CASA RIBAMAR - MAR, PRAIA E SURF",45208274,Maria,Mafra,Santo Isidoro,39.00753,-9.42213,Entire home/apt,120,5,1,2017-08-27,0.03,1,161
15842634,Spacious Double in the Heart of Lisbon,102614258,Xavier,Lisboa,So Vicente,38.71958,-9.1326,Private room,70,20,3,2017-10-10,0.09,1,89
15842682,"Apartments T1 in Rio de Mouro, Sintra, Portugal",102611520,Evgeny,Sintra,Rio de Mouro,38.78515,-9.31527,Entire home/apt,85,2,2,2018-07-14,0.10,1,275
15843397,Room in a flat (Parque das Nações) with river view,102621436,Carmo,Lisboa,Parque das Naes,38.78004,-9.09448,Private room,45,1,12,2019-11-16,0.34,2,365
15845758,Downtown Bica Lovers Apartment,31388176,Miguel,Lisboa,Misericrdia,38.7096,-9.14567,Entire home/apt,90,2,111,2020-02-18,2.89,7,57
15849178,Central Room with Balcony for Young Travelers3,34647309,Pedro & Luis,Lisboa,Santo Antnio,38.722,-9.15227,Private room,38,1,183,2020-01-01,4.56,5,310
15850888,Wonderful holiday home directly in Parede (Lisbon),5698997,Peter Wind,Cascais,Carcavelos e Parede,38.6934,-9.35622,Entire home/apt,90,3,2,2019-09-02,0.14,1,362
15851990,Campo pequeno apartment 4 you,102706746,Bárbara & Nuno,Lisboa,Areeiro,38.74374,-9.14252,Entire home/apt,75,3,140,2019-09-17,3.52,2,117
15853733,Beautiful and large house in Lisbon,102711527,Gonçalo,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70118,-9.22771,Private room,31,1,3,2017-04-27,0.08,1,0
15854729,A Lovely One-Bedroom Apartment in Belém,19254511,Goncalo,Lisboa,Belm,38.69534,-9.21296,Entire home/apt,80,1,8,2019-09-03,0.20,8,242
15857221,Barca Charmhouse - Colares Sintra -pool near beach,102465776,Sandra & Eduardo,Sintra,Colares,38.80692,-9.45184,Entire home/apt,240,3,18,2019-12-09,0.56,1,254
15859339,Cosy apartment w/ terrace in central Lisbon,102786595,VemViver,Lisboa,So Vicente,38.71852,-9.12866,Entire home/apt,49,1,170,2020-02-04,4.24,3,245
15867269,Graça Deluxe with parking 24 by Lisbonne Collection,34827624,Lisbonne,Lisboa,So Vicente,38.71905,-9.13097,Entire home/apt,190,1,43,2020-01-01,1.09,44,357
15867349,Praça do Comércio Room (Downtown),16869217,Elquisson And Julia,Lisboa,Santa Maria Maior,38.71126,-9.13624,Private room,21,1,170,2020-02-17,4.41,12,347
15867977,bright flat in the very heart chiado,12318654,Edna,Lisboa,Santa Maria Maior,38.71246,-9.14162,Entire home/apt,53,2,116,2020-02-13,2.89,15,312
