id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38838348,"Botanical Room, a cosy space in Belém.",5438303,Gracielle,Lisboa,Belm,38.70154,-9.20593,Private room,18,2,7,2019-11-16,3.96,3,72
38839122,Bedroom in a sharing flat 2,23496122,Fran,Lisboa,Penha de Frana,38.73213,-9.12931,Private room,26,7,0,,,9,319
38839584,Spacious 3BDR flat in Amadora w/ outdoor area,292218069,Carlos,Amadora,guas Livres,38.74847,-9.22728,Entire home/apt,50,1,0,,,1,67
38840396,Home Lisbon 2,22213534,Manuel E Sara,Lisboa,Santo Antnio,38.7215,-9.14151,Entire home/apt,50,3,2,2019-11-09,1.50,3,345
38840566,Double space room,23496122,Fran,Lisboa,Penha de Frana,38.73187,-9.1303,Private room,28,7,0,,,9,276
38842529,Sunny and Stylish Apartment - 11 min to the center,272683017,Martin,Lisboa,Santa Maria Maior,38.7183,-9.13613,Entire home/apt,150,2,7,2019-11-05,3.96,2,66
38842740,❤ DOURADORES 5 ❤ Heart of Lisbon 1 min from subway,3119255,Nicholas,Lisboa,Santa Maria Maior,38.71129,-9.13795,Entire home/apt,62,2,1,2019-11-01,1,4,79
38842878,Selina Secret Garden Lisbon - Standard Room,297383246,Selina,Lisboa,Misericrdia,38.71017,-9.14993,Private room,500,1,0,,,2,284
38848345,Shared room mixed with 3 beds,150936321,Ariane,Lisboa,Campo de Ourique,38.7192,-9.15777,Shared room,20,1,5,2019-11-15,2.42,5,365
38848874,NEW! Amazing 2 bedroom duplex in Lapa,241587048,Mafalda,Lisboa,Estrela,38.71125,-9.16303,Entire home/apt,100,3,0,,,2,177
38850025,Home Mais 16 in old town,211306953,An,Lisboa,So Vicente,38.71999,-9.12961,Entire home/apt,100,1,2,2019-10-13,1.09,10,86
38850213,"Bright apartment in Graça, Lisbon",278917600,Sónia,Lisboa,So Vicente,38.71874,-9.12377,Entire home/apt,45,3,0,,,1,345
