place_id,latitude,longitude
ChIJU1NoiDs6BIQREZgJa760ZO0,23.634501,-102.552784
ChIJrzBnX5fTNDAR2BwhKJOWRQc,4.210484,101.975766
ChIJxUr95uqs1BgRFaEWrrm_uxI,-18.665695,35.529562
ChIJIXXTbn489RsRYbLsqKXludM,-22.95764,18.49041
ChIJXa-hxnrsmRER1CSOFQqSM8k,17.607789,8.081666
ChIJDY2kfa8LThARyAvFaEH-qJk,9.081999,8.675277
ChIJzSL_zgDCEI8RtRWsP-Wn-sg,12.865416,-85.207229
ChIJu-SH28MJxkcRnwq9_851obM,52.132633,5.291265999999999
ChIJv-VNj0VoEkYRK9BkuJ07sKE,60.47202399999999,8.468945999999999
ChIJz2gufcfolTkR3obM0LyaojQ,28.394857,84.12400799999999
ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,-40.900557,174.885971
ChIJv5vVqWaf1j0RF6ixZXZMBjo,21.4735329,55.975413
ChIJ4yu-yIMVpo8Rz5ulH03g7nk,8.537981,-80.782127
ChIJ9RRZwFDIBZERSAYheRIBnvI,-9.189967,-75.015152
ChIJr54Ov6_oWWgRehKcjg3l8No,-6.314992999999999,143.95555
ChIJY96HXyFTQDIRV9opeu-QR3g,12.879721,121.774017
ChIJH3X9-NJS2zgRXJIU5veht0Y,30.375321,69.34511599999999
ChIJuwtkpGSZAEcR6lXMScpzdQk,51.919438,19.145136
ChIJ1SZCvy0kMgsRQfBOHAlLuCo,39.39987199999999,-8.224454
ChIJYz3xkDQIXJQR8y5YHWH_-rM,-23.442503,-58.443832
ChIJf-jc_zTFRT4RMkArgc-I-hw,25.354826,51.183884
ChIJw3aJlSb_sUARlLEEqJJP74Q,45.943161,24.96676
ChIJlYCJ8t8dV0cRXYYjN-pQXgU,44.016521,21.005859
ChIJ-yRniZpWPEURE_YRZvj9CRQ,61.52401,105.318756
ChIJ40A451SWwhkRA6HMyyawkHQ,-1.940278,29.873888
ChIJQSqV5z-z5xURm7YawktQYFk,23.885942,45.079162
ChIJ8fA1bTmyXEYRYm-tjaLruCI,60.12816100000001,18.643501
ChIJdZOLiiMR2jERxPWrUs9peIg,1.352083,103.819836
ChIJYYOWXuckZUcRZdTiJR5FQOc,46.151241,14.995463
ChIJf8Z8rrlgFEcRfTpysWdha80,48.669026,19.699024
ChIJcbvFs_VywQ4RQFlhmVClRlo,14.497401,-14.452362
ChIJVwZkWaYnY48RMkiFmOsWmm8,13.794185,-88.89653
ChIJGVQYE8HhIxARYJPRGjBbrvo,8.619543,0.824782
ChIJsU1CR_eNTTARAuhXB4gs154,15.870032,100.992541
ChIJzbO8enN2sTgRtYgZT4QxwyU,38.861034,71.276093
ChIJcSZPllwVsBQRKl9iKtTb2UA,38.963745,35.243322
ChIJxbZQY5cHNowRJ_E5xlUoCP8,10.691803,-61.222503
ChIJL1cHXAbzbjQRaVScvwTwEec,23.69781,120.960515
ChIJEaFpSDFRSxgRMMTBSzEXWog,-6.369028,34.888822
ChIJjw5wVMHZ0UAREED2iIQGAQA,48.379433,31.16558
ChIJRfmZZJ-mcRcRSUUBQ85VQYc,1.373333,32.290275
ChIJCzYy5IS16lQRQrfeQ5K5Oxw,37.09024,-95.712891
ChIJCd5f-zoHdZURSlIWYGGWVUo,-32.522779,-55.765835
ChIJAdjLNstTKIwR003VfFjyoNw,6.42375,-66.58973
ChIJXx5qc016FTERvmL-4smwO7A,14.058324,108.277199
ChIJX7w0fKzbAxYRrneufjcp8ZI,15.552727,48.516388
ChIJURLu2YmmNBwRoOikHwxjXeg,-30.559482,22.937506
ChIJcQv8_KX0QBkRRT5Yfqz5n_E,-13.133897,27.849332
ChIJYXGxBuekMRkR7r_LxV84wKE,-19.015438,29.154857
