id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10624633,Myplace lisbon Cais de Alfama,701650,Mauro,Lisboa,Santa Maria Maior,38.70884,-9.1308,Entire home/apt,82,2,13,2019-10-14,0.33,13,290
10630889,"Studio, Belem, Alto Santa Catarina with Pool",20149327,Rui,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70155,-9.24217,Entire home/apt,80,3,52,2019-10-14,1.35,1,347
10630926,New tiny house - Central&Discret for 2,51540109,Living,Lisboa,Estrela,38.71181,-9.17275,Entire home/apt,21,2,159,2019-10-20,3.92,1,198
10635772,Holiday Lisbon H. Suite Two.@,54376302,Fabiano,Lisboa,Santo Antnio,38.72597,-9.14752,Hotel room,48,1,19,2018-10-17,0.71,9,298
10636175,Holiday Lisbon H. Six.@,54376302,Fabiano,Lisboa,Santo Antnio,38.72628,-9.14695,Hotel room,48,1,17,2018-10-14,0.37,9,298
10642654,Nice room near the lisbon zoo,885573,Susana,Lisboa,So Domingos de Benfica,38.74345,-9.17675,Private room,25,2,134,2019-10-13,3.07,1,281
10649003,"""4 amigos"" flat with 2 balconies in Bairro Alto :)",14291065,Gonçalo,Lisboa,Misericrdia,38.71213,-9.14516,Entire home/apt,55,1,30,2019-10-06,0.67,11,348
10650062,Summer house between Sintra and Sea,54983929,António E Fátima,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.81734,-9.3973,Entire home/apt,110,3,32,2018-10-12,0.77,1,1
10656072,Cozy Apartment - Patio da Galega - City Center,55034544,Karine,Lisboa,Misericrdia,38.7085,-9.149,Entire home/apt,80,2,91,2019-10-15,2.21,1,356
10656913,Smile Hostel,55039050,Domingas,Lisboa,Santa Maria Maior,38.71134,-9.13504,Entire home/apt,160,1,84,2019-10-18,1.97,1,152
10663720,Quarto Twin-Alvalade II GuestHouse,51832713,Sofia,Lisboa,Alvalade,38.75618,-9.13917,Private room,36,1,5,2019-09-26,0.12,27,350
10664085,Triple Room - Alvalade II Guest House,51832713,Sofia,Lisboa,Alvalade,38.75642,-9.14053,Private room,48,1,30,2019-10-11,0.71,27,353
10665119,Uma vista de praia única,55089665,Luis,Torres Vedras,A dos Cunhados e Maceira,39.17358,-9.35297,Entire home/apt,50,2,85,2019-09-22,1.95,1,328
10665125,Cozy Apartment near Av da Liberdade,3953109,Feels Like Home,Lisboa,Santo Antnio,38.71586,-9.14501,Entire home/apt,64,2,24,2019-08-28,0.53,326,85
10669972,Lisbon apartment with all @ 3Km max,55115529,Paulo,Lisboa,Estrela,38.70526,-9.16659,Entire home/apt,31,2,97,2019-09-05,2.26,1,283
10675038,Beautiful & large apartment near West Coast,55141769,Anne-Claire,Cascais,Carcavelos e Parede,38.70352,-9.36129,Entire home/apt,80,6,0,,,1,358
10677809,Modern flat in Lisbon!,49508396,Filipe,Lisboa,Benfica,38.74498,-9.20654,Entire home/apt,49,2,81,2019-10-16,1.79,1,234
10680632,Small new flat with cozzy terrace,55171426,Heliana,Lisboa,Avenidas Novas,38.74501,-9.15543,Entire home/apt,39,2,13,2016-08-01,0.29,1,0
10685113,一个在市中心宽敞方便有爱的温馨住处,38875496,Jinhui,Lisboa,Arroios,38.72622,-9.14142,Entire home/apt,80,100,0,,,2,365
10690690,The Maverick Surf Villa 1,17235600,The Maverick Surfvillas,Lourinh,Lourinh e Atalaia,39.27118,-9.28016,Entire home/apt,617,3,4,2018-08-12,0.10,14,364
