id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29751157,Cozy Central Studio with Private Terrace,222578946,Frederico,Lisboa,Santo Antnio,38.7214,-9.14208,Entire home/apt,120,1,6,2019-03-02,2.65,1,323
29751322,Entre Margens,223303671,Alberto,Lisboa,Estrela,38.70201,-9.17181,Entire home/apt,80,1,0,,,1,175
29752767,Ouro Grand 2 Bedroom Apartment LR,181670040,Level STR,Lisboa,Santa Maria Maior,38.71042,-9.13768,Entire home/apt,140,2,6,2019-02-25,1.40,4,89
29753119,High-quality Refined 1 bedroom in downtown,136528259,Zain & Ylenia,Lisboa,Santa Maria Maior,38.70893,-9.13749,Entire home/apt,69,2,4,2019-03-17,1.21,1,303
29753470,Charming 3 bedroom apartment in historic city center - Castelo,219804817,Pedro & Virginia,Lisboa,Santa Maria Maior,38.71169,-9.13258,Entire home/apt,65,2,4,2019-03-21,3.43,14,160
29754390,DOWNTOWN PREMIUM by HOMING,104083974,Homing,Lisboa,Santa Maria Maior,38.71011,-9.13605,Entire home/apt,93,1,12,2019-03-17,3.24,150,253
29754402,NEW!!! STYLISH & TRENDY APARTMENT - HEART OF BAIXA,2446180,Chiho & Nuno,Lisboa,Santa Maria Maior,38.70895,-9.13918,Entire home/apt,125,4,11,2019-03-19,3.14,11,151
29754636,Suite 3 Camões à Vista,223396650,Camões À Vista Suites,Lisboa,Misericrdia,38.71024,-9.1442,Private room,78,1,0,,,6,185
29754868,"Heart of Sintra - Amazing Views, Pool & Garden",16562912,Pedro,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79931,-9.39227,Entire home/apt,250,4,0,,,1,304
29755569,Suite 4 Camões à Vista,223396650,Camões À Vista Suites,Lisboa,Misericrdia,38.7113,-9.14412,Private room,58,1,0,,,6,134
29756045,Cozy Central Studio with Private Terrace,126289256,António & Maria,Lisboa,Santo Antnio,38.71971,-9.14347,Entire home/apt,90,1,2,2019-03-18,0.78,3,323
29756121,Suite 5 Camões à Vista,223396650,Camões À Vista Suites,Lisboa,Misericrdia,38.71196,-9.14311,Private room,78,1,0,,,6,197
29756395,Suite 6 Camões à Vista,223396650,Camões À Vista Suites,Lisboa,Misericrdia,38.71053,-9.14317,Private room,78,1,0,,,6,175
29756605,New Loft/Studio Alma do Mundo - City Center,223869037,Rosangela,Lisboa,Arroios,38.72179,-9.13854,Entire home/apt,55,2,11,2019-03-07,3.14,1,275
29757420,Romantic loft with an astonishing view of the city,131215300,Dann E Lau,Lisboa,Santa Maria Maior,38.71239,-9.13498,Entire home/apt,60,3,6,2019-01-01,1.43,1,0
29757718,Casa Adega da Fonte,214471824,Lídia,Mafra,Ericeira,38.97429,-9.3977,Entire home/apt,150,1,0,,,1,226
29758479,Central & Sunny Flat in Lisbon,219802498,Catarina E Tiago,Lisboa,Avenidas Novas,38.73349,-9.15111,Entire home/apt,65,2,1,2018-11-22,0.25,19,154
29760960,"B&B - Lisbon Garden Flower, Room nº3-Lisbon center",57421638,Nuno,Lisboa,Alvalade,38.74765,-9.1476,Private room,50,1,4,2019-02-06,1.00,12,311
29762529,"Apartamento novo, muito confortável com vista Rio",110772422,Miguel,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70923,-9.23049,Entire home/apt,85,4,2,2019-02-26,0.74,1,306
29768828,NEW - Alfama Dream Apartment 1,223973389,David E Sofia,Lisboa,So Vicente,38.71392,-9.12866,Entire home/apt,85,2,3,2019-02-17,1.08,6,320
29769435,NEW - Alfama Dream Apartment 2,223973389,David E Sofia,Lisboa,So Vicente,38.71425,-9.12856,Entire home/apt,95,2,2,2019-02-16,0.92,6,308
29769561,NEW - Alfama Dream Apartment 3,223973389,David E Sofia,Lisboa,So Vicente,38.71372,-9.12954,Entire home/apt,85,2,1,2019-01-01,0.37,6,312
29770447,Villa over the beach,223983553,Luís,Sintra,Colares,38.8403,-9.4595,Entire home/apt,310,5,0,,,1,336
29770494,Lisbon Heart of the city Baixa Chiado up 8 people,203336482,Gabriella,Lisboa,Santa Maria Maior,38.71123,-9.13873,Entire home/apt,140,1,4,2019-03-04,1.35,7,335
29770696,Marques de Pombal Charm Double Room  acc 4 people,203336482,Gabriella,Lisboa,Arroios,38.73314,-9.14303,Private room,39,1,3,2019-03-03,1.25,7,284
